1,0.002,0.028,0.028
2,0.002,0.027,0.055
3,0.003,0.023,0.078
4,0.003,0.030,0.108
5,0.003,0.038,0.146
6,0.003,0.044,0.190
7,0.003,0.033,0.224
8,0.004,0.028,0.252
9,0.004,0.025,0.276
10,0.004,0.027,0.303
11,0.004,0.021,0.324
12,0.004,0.026,0.350
13,0.004,0.026,0.376
14,0.004,0.024,0.400
15,0.005,0.022,0.422
16,0.005,0.022,0.444
17,0.005,0.025,0.469
18,0.005,0.022,0.491
19,0.005,0.024,0.514
20,0.005,0.019,0.533
21,0.005,0.026,0.559
22,0.005,0.021,0.580
23,0.005,0.021,0.601
24,0.006,0.021,0.622
25,0.006,0.023,0.645
26,0.006,0.021,0.666
27,0.006,0.018,0.684
28,0.006,0.022,0.707
29,0.006,0.020,0.727
30,0.006,0.023,0.750
31,0.006,0.019,0.768
32,0.006,0.018,0.786
33,0.006,0.022,0.808
34,0.006,0.018,0.826
35,0.006,0.021,0.847
36,0.006,0.022,0.869
37,0.006,0.018,0.887
38,0.007,0.024,0.910
39,0.007,0.020,0.930
40,0.007,0.024,0.954
41,0.007,0.018,0.972
42,0.007,0.018,0.990
43,0.007,0.022,1.012
44,0.007,0.019,1.032
45,0.007,0.022,1.053
46,0.007,0.019,1.072
47,0.007,0.020,1.092
48,0.007,0.021,1.112
49,0.007,0.018,1.131
50,0.007,0.023,1.154
51,0.007,0.020,1.174
52,0.007,0.018,1.191
53,0.007,0.021,1.213
54,0.007,0.017,1.230
55,0.008,0.022,1.252
56,0.008,0.018,1.269
57,0.008,0.017,1.286
58,0.008,0.021,1.308
59,0.008,0.019,1.327
60,0.008,0.020,1.346
61,0.008,0.018,1.365
62,0.008,0.016,1.381
63,0.008,0.020,1.401
64,0.008,0.019,1.420
65,0.008,0.017,1.437
66,0.009,0.021,1.459
67,0.009,0.018,1.476
68,0.008,0.020,1.497
69,0.009,0.019,1.516
70,0.009,0.018,1.533
71,0.009,0.020,1.553
72,0.009,0.017,1.570
73,0.009,0.020,1.590
74,0.009,0.020,1.610
75,0.009,0.017,1.627
76,0.009,0.019,1.646
77,0.009,0.017,1.663
78,0.009,0.018,1.681
79,0.009,0.020,1.702
80,0.009,0.017,1.719
81,0.009,0.016,1.735
82,0.009,0.018,1.753
83,0.010,0.016,1.769
84,0.010,0.018,1.787
85,0.010,0.021,1.808
